id,Lat,Lon,HarvestYear,Source,YieldTonHa,MWMT,MCMT,MAT,MAP,Potassium_g_kg_0-20_m,Nitrogen_g_kg_0-20_m,Phosphorus_g_kg_0-20_m,OrganicCarbon_g_kg_0-20_m,irr
9427,2.81874704360962,32.2802124023438,2010,LSMS_UGA2009,0.790736521648883,27.3,24.3,25.6,1467,47,72,23,26,0.0
9428,0.411417007446289,33.1413688659668,2010,LSMS_UGA2009,4.70676500981478,24.2,21.5,22.9,1622,47,80,23,27,0.0
9429,0.775407016277313,33.3474769592285,2010,LSMS_UGA2009,0.564811801177774,25.1,22.8,24.1,1670,43,80,22,29,0.0
9430,1.14941596984863,33.9205665588379,2010,LSMS_UGA2009,0.433517835291292,25.5,22.9,24.3,1615,46,77,21,27,0.0
9431,0.589527010917664,32.6231079101563,2010,LSMS_UGA2009,0.131789420274814,24.5,22.1,23.4,1567,49,91,25,27,0.0
9432,3.00683903694153,30.913631439209,2010,LSMS_UGA2009,0.68879487948509,26.2,23.4,24.5,1430,47,67,24,24,0.0
9433,1.44195699691772,31.155403137207,2010,LSMS_UGA2009,0.310824104421731,25.4,22.9,24.1,1407,48,112,23,31,0.0
9434,1.2560830116272,30.8103256225586,2010,LSMS_UGA2009,0.395368260824442,24.9,22.6,23.6,1366,50,103,24,29,0.0
9435,0.674983024597168,33.5198974609375,2010,LSMS_UGA2009,0.395368260824442,25.2,22.5,24.0,1663,44,78,21,28,0.0
9436,-0.323038011789322,30.5947933197021,2010,LSMS_UGA2009,0.494210326030552,21.9,20.9,21.2,1412,49,107,27,29,0.0
9437,-0.227395996451378,30.4021663665771,2010,LSMS_UGA2009,0.376541200785183,20.8,19.4,20.0,1565,50,116,27,31,0.0
9438,-0.92560201883316,30.7941589355469,2010,LSMS_UGA2009,2.27223138404852,21.8,20.8,21.3,1346,52,95,27,30,0.0
9439,1.43425595760345,33.849781036377,2010,LSMS_UGA2009,0.197684130412221,25.8,23.3,24.6,1632,47,71,21,26,0.0
9440,1.56147396564484,33.3062973022461,2010,LSMS_UGA2009,0.329473550687035,26.2,23.3,24.8,1521,49,85,24,28,0.0
